,speed deg/s,Frequency,std,hochpass,oszi dt,,,,,
,-5.005,203,82.24,JA,20 ns,,,,,
,5.001,192.8,77.29,JA,,,,,,
,-3.99,153.52,84.78,JA,,,laser beam durchmesser: 1.2mm +/- 0.5mm,,,
,3.99,121.27,61.47,JA,,,,,,
,-3,92.78,67.17,JA,,,material length: 30cm,,,
,3,120.32,77.48,,,,triangle side length: 40cm,,,
,-2,34.55,28.34,,,,tube diameter 3.5cm,,,
,2,64.7,50.99,,,,,,,
,-1,49.67,28.17,,,,,,,
,1,42.18,28.38,,,,,,,
,-5,186.52,51.9,Nein,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,-5,39.87,5.5,Nein,0.1ms,,,,,
,5,39.51,3.99,Nein,,,,,,
,-4,30.34,4.45,Nein,,,,,,
,4,30.44,5.6,Nein,,,,,,
,-3,20.54,1.6,Nein,,,,,,
,3,25.67,7.52,Nein,,,,,,
,-2,13.25,0.45,,,,,,,
,2,13.04,0.77,,,,,,,
,-1.5,10,0.46,,,,,,,
,1.5,10.61,1.36,,,,,,,
,-1.2,8.1,0.28,,,,,,,
,1.2,7.81,0.71,,,,,,,
,-1,6.67,0.15,,,,,,,
,1,6.25,0.57,,,,,,,
,-0.7,4.77,0.06,,,,,,,
,0.7,3.88,0.2,,,,,,,
,-0.5,3.41,0.1,,,,,,,
,0.5,2.76,0.09,,,,,,,
,0.5,2.78,0.08,,,,,,,
,-0.4,2.73,0.07,,,,,,,
,0.4,0,0,,,,,,,
,-0.3,0,0,,,,,,,
,0.3,0,0,,,,,,,
,-0.1,1.77,6.46,,"bei tiefen frequenzen viele 0 +/- 0 messungen, wegen lock in!!!",,,,,
,-0.1,0.23,01.01.2019,,,,,,,
,0.1,23.62,13.01,,,,,,,
,0.1,15.9,14.25,,,,,,,
,0.2,12.98,17,,,,,,,
,0.2,18.36,16.54,,,,,,,
,-0.2,17.09,16.17,,,,,,,
,0,23.96,5.6,,,,,,,
,0,27.73,6.3,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,0,5.91,1.55,,1ms,,,,,
,-0.1,0.91,0.08,,,,,,,
,0.1,0.52,0.82,,,,,,,
,-0.2,1.48,0.07,,,,,,,
,0.2,0.59,0.47,,,,,,,
,-0.3,2.18,0.08,,,,,,,
,0.3,1.38,0.08,,,,,,,
,-0.5,3.44,0.08,,,,,,,
,0.5,2.67,0.17,,,,,,,
,-0.7,4.68,0.07,,,,,,,
,0.7,3.88,0.11,,,,,,,
,-1,6.48,0.27,,,,,,,
,1,5.87,0.11,,,,,,,
,-1.2,7.75,0.2,,,,,,,
,1.2,7.14,0.09,,,,,,,
,-1.5,9.55,0.24,,,,,,,
,1.5,9.13,0.15,,,,,,,
,-2,12.64,0.29,,,,,,,
,2,11.61,0.52,,,,,,,
,-3,17.56,0.86,,,,,,,
,-3,15.2,2.25,,,,,,,
,3,17.04,0.71,,,,,,,
,3,14.22,1.5,,,,,,,
,-4,18.24,2.57,,,,,,,
,-4,9.88,3.84,,,,,,,
,4,19.45,2.13,,,,,,,
,4,8.01,3.66,,,,,,,
,-5,12.34,2.46,,,,,,,
,5,11.57,3.25,,,,,,,
