v,f1,f1_err
-2.0,-2011.7184806815574,46.15493349664965
-1.5,-1519.9297065276007,38.197186342054884
-1.2,-1233.450808962189,31.83098861837907
-1.0,-1031.324031235482,42.97183463481175
-0.7,-744.8451336700701,11.140846016432675
-0.5,-547.49300423612,12.732395447351628
-0.3,-346.9577759403319,12.732395447351628
-0.2,-235.5493157760051,11.140846016432675
-0.1,-144.83099821362478,12.732395447351628
0.0,940.6057136731015,246.6901617924378
0.1,82.76057040778558,130.5070533353542
0.2,93.90141642421825,74.80282325319081
0.3,219.63382146681556,12.732395447351628
0.5,424.9436980553606,27.056340325622212
0.7,617.5211791965539,17.50704374010849
1.0,934.2395159494257,17.50704374010849
1.2,1136.3662936761327,14.32394487827058
1.5,1453.0846304290046,23.8732414637843
2.0,1847.788889296905,82.76057040778558
