rel.thickness,rel.thickness_err,T_20,T_20_err,T_21,T_21_err,T_22,T_22_err,T_23,T_23_err
3.25,0.18,-202.58,0.96,-186.49,1.98,-176.95,7.06,-192.79,3.49
3.0,0.15,-207.34,0.96,-192.14,1.97,-177.45,7.06,-198.59,3.48
2.75,0.12,-212.5,0.95,-199.18,1.96,-184.49,7.04,-204.76,3.47
2.5,0.1,-217.52,0.94,-205.44,1.95,-191.6,7.02,-211.52,3.46
2.25,0.08,-222.35,0.94,-212.41,1.94,-198.94,7.0,-216.71,3.46
2.0,0.06,-227.13,0.94,-218.29,1.94,-208.59,6.97,-220.77,3.45
1.75,0.04,-231.49,0.94,-224.67,1.93,-215.44,6.95,-227.7,3.44
1.5,0.03,-235.92,0.94,-230.75,1.92,-224.99,6.92,-232.66,3.44
1.25,0.02,-243.9,0.93,-236.47,1.91,-230.49,6.9,-236.97,3.43
1.0,0.0,-247.43,0.94,-240.9,1.91,-235.34,6.88,-244.19,3.42
