Parameter,Lufttemperatur 2 m,Bodentemperatur 20 cm,Bodentemperatur 35 cm,Bodentemperatur 60 cm
2017-05-02 00:00,6.8,9.6,9.6,9.5
2017-05-03 00:00,8.9,10.3,10.0,9.6
2017-05-04 00:00,8.4,10.8,10.4,9.9
2017-05-05 00:00,10.6,11.4,10.7,10.1
2017-05-06 00:00,9.9,11.9,11.4,10.4
2017-05-07 00:00,9.7,11.3,11.2,10.6
2017-05-08 00:00,8.7,11.1,11.0,10.6
2017-05-09 00:00,8.8,11.3,10.9,10.6
2017-05-10 00:00,11.1,11.8,11.2,10.7
2017-05-11 00:00,14.3,13.0,12.1,11.0
2017-05-12 00:00,13.1,13.4,12.5,11.4
2017-05-13 00:00,14.8,14.1,13.0,11.7
2017-05-14 00:00,14.6,14.8,13.8,12.2
2017-05-15 00:00,15.4,15.2,14.1,12.6
2017-05-16 00:00,16.1,15.6,14.5,12.9
2017-05-17 00:00,18.1,16.1,14.9,13.2
2017-05-18 00:00,18.5,16.8,15.6,13.6
2017-05-19 00:00,10.1,15.7,15.4,14.0
2017-05-20 00:00,9.7,14.0,14.0,13.6
2017-05-21 00:00,12.5,14.7,14.0,13.3
2017-05-22 00:00,16.0,15.3,14.4,13.4
2017-05-23 00:00,18.0,16.1,15.1,13.6
2017-05-24 00:00,17.6,16.9,15.7,14.0
2017-05-25 00:00,17.4,17.0,16.1,14.4
2017-05-26 00:00,18.2,17.3,16.3,14.6
2017-05-27 00:00,20.1,18.1,16.7,14.9
2017-05-28 00:00,21.8,19.1,17.5,15.3
2017-05-29 00:00,21.4,19.7,18.1,15.9
2017-05-30 00:00,20.9,19.9,18.4,16.3
2017-05-31 00:00,19.9,20.1,18.7,16.5
2017-06-01 00:00,18.6,20.0,18.9,16.8
2017-06-02 00:00,19.4,20.1,19.0,17.0
2017-06-03 00:00,18.5,20.3,19.2,17.3
2017-06-04 00:00,15.9,19.4,18.9,17.5
2017-06-05 00:00,14.2,18.7,18.5,17.4
2017-06-06 00:00,12.3,17.6,17.7,17.1
2017-06-07 00:00,12.1,16.7,16.8,16.6
2017-06-08 00:00,14.1,16.9,16.6,16.3
2017-06-09 00:00,17.2,17.6,17.0,16.3
2017-06-10 00:00,19.6,18.5,17.5,16.4
2017-06-11 00:00,20.9,19.6,18.3,16.8
2017-06-12 00:00,22.4,20.5,19.2,17.3
2017-06-13 00:00,21.6,20.8,19.6,17.7
2017-06-14 00:00,20.8,21.1,19.9,18.1
2017-06-15 00:00,22.4,21.4,20.2,18.4
2017-06-16 00:00,21.1,21.7,20.6,18.7
2017-06-17 00:00,17.9,20.9,20.3,18.8
2017-06-18 00:00,19.5,20.4,20.0,18.8
2017-06-19 00:00,21.8,21.0,20.1,18.7
2017-06-20 00:00,24.1,22.1,20.7,19.0
2017-06-21 00:00,24.9,22.9,21.4,19.3
2017-06-22 00:00,25.7,23.3,21.8,19.7
2017-06-23 00:00,25.9,23.7,22.2,20.1
2017-06-24 00:00,22.3,23.4,22.3,20.3
2017-06-25 00:00,20.7,22.9,21.9,20.3
2017-06-26 00:00,20.2,22.6,21.7,20.2
2017-06-27 00:00,20.8,22.5,21.6,20.2
2017-06-28 00:00,18.2,22.5,21.7,20.2
2017-06-29 00:00,15.4,21.2,21.2,20.1
2017-06-30 00:00,15.2,20.2,20.3,19.7
2017-07-01 00:00,15.1,19.8,20.0,19.4
2017-07-02 00:00,14.1,19.1,19.4,19.1
2017-07-03 00:00,17.6,19.4,19.1,18.7
2017-07-04 00:00,18.5,20.3,19.6,18.7
2017-07-05 00:00,21.2,21.0,20.0,18.9
2017-07-06 00:00,23.9,22.2,20.8,19.2
2017-07-07 00:00,23.6,22.9,21.6,19.7
2017-07-08 00:00,22.4,22.9,21.9,20.0
2017-07-09 00:00,19.8,22.1,21.6,20.2
2017-07-10 00:00,18.9,21.6,21.1,20.0
2017-07-11 00:00,18.0,21.1,20.7,19.9
2017-07-12 00:00,19.6,21.4,20.7,19.7
2017-07-13 00:00,20.5,21.6,20.8,19.7
2017-07-14 00:00,19.6,22.0,21.1,19.8
2017-07-15 00:00,17.4,21.9,21.2,20.0
2017-07-16 00:00,18.0,21.8,21.0,19.9
2017-07-17 00:00,20.5,22.2,21.3,20.0
2017-07-18 00:00,22.2,23.1,21.8,20.2
2017-07-19 00:00,22.8,23.7,22.4,20.6
2017-07-20 00:00,21.2,23.5,22.5,20.8
2017-07-21 00:00,20.2,23.5,22.6,20.9
2017-07-22 00:00,19.8,22.8,22.2,20.9
2017-07-23 00:00,18.7,22.6,22.1,20.9
2017-07-24 00:00,15.9,21.6,21.6,20.7
2017-07-25 00:00,14.1,19.9,20.4,20.3
2017-07-26 00:00,15.6,19.2,19.5,19.7
2017-07-27 00:00,18.2,19.5,19.4,19.3
2017-07-28 00:00,18.9,20.4,19.8,19.2
2017-07-29 00:00,19.7,21.0,20.3,19.4
2017-07-30 00:00,21.7,21.8,20.9,19.7
2017-07-31 00:00,20.8,21.8,21.1,19.9
2017-08-01 00:00,22.0,22.1,21.2,20.1
2017-08-02 00:00,23.5,22.6,21.5,20.2
2017-08-03 00:00,26.0,23.5,22.2,20.6
2017-08-04 00:00,23.3,23.9,22.7,20.9
2017-08-05 00:00,22.4,23.7,22.7,21.2
2017-08-06 00:00,18.5,23.1,22.6,21.2
2017-08-07 00:00,17.3,21.8,21.6,21.0
2017-08-08 00:00,15.5,21.1,21.3,20.7
2017-08-09 00:00,16.0,19.9,20.2,20.2
2017-08-10 00:00,12.6,18.8,19.5,19.7
2017-08-11 00:00,12.0,17.8,18.5,19.1
2017-08-12 00:00,15.1,17.9,18.1,18.6
2017-08-13 00:00,17.3,18.8,18.4,18.4
2017-08-14 00:00,19.5,19.7,19.0,18.6
2017-08-15 00:00,21.3,20.6,19.8,18.9
2017-08-16 00:00,20.6,21.0,20.2,19.2
2017-08-17 00:00,21.1,21.4,20.6,19.6
2017-08-18 00:00,20.5,21.6,20.9,19.9
2017-08-19 00:00,17.3,21.1,20.8,20.0
2017-08-20 00:00,15.6,20.4,20.3,19.9
2017-08-21 00:00,14.6,19.5,19.7,19.6
2017-08-22 00:00,17.9,19.4,19.4,19.3
2017-08-23 00:00,20.9,20.2,19.7,19.3
2017-08-24 00:00,19.1,20.6,20.2,19.5
2017-08-25 00:00,19.4,20.1,20.0,19.5
2017-08-26 00:00,21.4,20.7,20.2,19.5
2017-08-27 00:00,20.0,20.6,20.3,19.6
2017-08-28 00:00,20.8,20.5,20.2,19.6
2017-08-29 00:00,20.8,20.7,20.3,19.6
2017-08-30 00:00,22.4,20.9,20.5,19.7
